# Glossary in tab-separated format -*- coding: utf-8 -*-
mould	鋳型	工作のスキルでなにかの金属棒から特定の物を作りたい時に使ってるアイテムの訳
Teokan	テオカン
Ralos	ラロス
Armoured	武装	Armoured zombieなどの場合
Heredit	ヘレディット
warband	戦闘集団
warband	ワーバンド
warband	兵団
seer	予見者
Doom	破滅
Swarm	群れ
Duelist	決闘者
Blacksmith	鍛冶屋
Ranul	ラヌル
skink	スキンク
Sunbeam	陽光
Guildmaster	ギルドマスター
Huntmaster	猟匠
Novice	新米
Adept	達人
Expert	専
Master	師匠
scribe	書記
Moonlight	月光
Nelta	ネルタ
Teoki	テオキ
multicannon	マルチキャノン
statue	像
Compost	堆肥
Blurberry	ブラーベリー
sail	帆
Tombstone	墓石
grave stone	墓石
Gravestone	墓石
stall	屋台
torch	松明
cabinet	キャビネット
Noticeboard	掲示板
Timber	木材
Bandage	包帯
Achey	アチー
Trawler	トローラー
Sturdy	頑丈
Spooky	不気味な
Cavern	大洞窟
Mine	鉱山
Dalgroth	ダルグロス
valve	弁
Sewer	下水
Legends Guild	伝説ギルド
sapling	若木
Arctic pine	北極松
Eerie	イーリー
Mechanism	仕掛け
lantadyme	ランタダイム	ハーブの名
Statuette	小像
kiln	窯
Plinth	台座
tomb	墓
ledge	岩棚
Treasure Trail	宝探し
Canopic	カノプス
Ceremonial	儀式の
Inconspicuous	目立たない
Ornament	装飾品
Rug	カーペット
Limestone	石灰岩
Teak	チーク	Constructionで用いる木材の一つ
patch	畑	Farmingのpatchの訳
Cadavaberry	カダバベリー
Diseased	病気の
Dwellberry	ドエルベリー
Poison Ivy	ツタウルシ
Redberry	レッドベリー
Whiteberry	ホワイトベリー
cactus	サボテン
Calquat	カルカン
Marigold	マリーゴールド
Nasturtium	ナスタチウム
Woad	アイ
stump	切り株
Asgarnian	アスガニアの
Hop	ホップ
Barley	大麦
Krandorian	クランドリアン
Jute	黄麻
Wildblood	ワイルドブラッド
Bittercap	ビタキャップ
Bittercap Mushroom	ビタキャップダケ
Allotment	アロメント
rack	ラック
Kelda	ケルダ
runestone	ルーンストーン
Gout Tuber	ガウト・チューバー
Mahogany	マホガニー
Grove	木立	「こだち」。木が数本集まっている場所
Hardwood	鋼材
Market	市場
Crate	箱
casket	木箱
Conveyor belt	ベルトコンベア
Cog	歯車
Gear	ギア
lantern	ちょうちん
Patched	修復
Delphinium	デルフィニウム
White Tree	白い木
Snowdrop	スノードロップ
wheel	回し車	小さなペットが乗って遊ぶやつ
Staff	スタッフ	従業員を意味する場合
Staff	従業員
barn	納屋
Trellis	トレリス
Choc-Ice	チョコアイス
Pew	会衆席
Whetstone	砥石
Pedestal	台座
barrier	バリア
Ladder	ハシゴ
Sandstone	砂岩
Granite	花崗岩
Amethyst	アメシスト
Dwarven Stout	ドワーフ・スタウト
Zul-Andra	ズル・アンドラ	地名
Godfather	首領
Shrine	聖堂
Trapdoor	落とし戸
Banquet	宴会
Sack	袋
Crude	粗末な
Colony	植民地
Sq'irk	スクアーク
wardrobe	タンス
Gilded	黄金
Opulent	豪華な
Carved	彫刻された
Castlewars	キャッスルウォーズ
painting	絵画
Isafdar	イサフダー
range	コンロ	調理器具の場合
Celestial	天体の
bars	鉄格子
fabric	生地
Prize chest	景品入れ
Lectern	詠唱台	魔法を唱えるための台の場合
chest	宝箱
Sign	標識
easy	初級
STASH	隠し場所
wand	ワンド
Ectofuntus	エクトファンタス
Brazier	火鉢
Office	事務所
cooker	コンロ
Aspidistra	ハラン
chasm	割れ目
Sickle	鎌	装備できるアイテム
logo	ロゴ
pillar	柱
Daeyalt	ダエヤルト
Lumpy	デコボコ
rubble	がれき
Sailfish	バショウカジキ
ruin	廃墟
Slug	ナメクジ
Attacker	攻撃者	Barbarian assaultでの役割
Defender	守護者	Barbarian assualtでの役割の訳
Healer	回復者	Barbarian assualtでの役割の訳
Collector	回収役	Barbarian assultの役割の訳
Geyser	間欠泉
Soul Devourer	魂を喰らうモノ
Stalagmite	石じゅん
Specimen	標本
artefact	人工物
Goo	粘液
Glyph	抽象文字
Anvil	金床
Intermediate	中級
Veteran	ベテラン
surge	押し寄せる	形容詞の場合
Overload	限界突破
secateurs	せん定ばさみ
Infernal	獄炎
Mounted	装着された
Infernal Cape	獄炎のマント
Max Cape	マックス・マント
Font	源泉
residue	残留物
Overseer	監督者
Deadman	デッドマン
Ivory	象牙
Tithe	タイス
Golovanova	ゴロバノバ
Bologano	ボロガノ
Logavano	ロガバノ
seedling	苗
Saltpetre	硝石
juniper	セイヨウネズ
basket	カゴ
Sandworm	ゴカイ	釣りのエサ
Arcane	魔法の
Pot	土鍋	容器が茶色い場合
Pot	鍋	容器が金属製の場合
Lovakite	ロヴァカイト
Servant	召使	POHのServantの訳
Marble	大理石
Obsidian	黒曜石
Topiary	トピアリー
Adventure log	冒険家ログ
Kraken	クラーケン
Zulrah	ズルラ
Cerberus	ケルベロス
Achievement Diary	達成記録
Music Cape	音楽マント
Sire	雄親
Otherworldly	超自然的な
Dinh	ディン
Clan Wars	クラン対戦
Keystone	要石
Noxious	有害
tendril	ツル
Xeric	ゼリック
Chambers of Xeric	ゼリックの部屋
carving	刻印
Great Olm	偉大なるオルム
Lizardman	リザードマン
Vanguard	先駆者
Houndmaster	ハウンドマスター
Relic	遺物
Chronicle	年代記
Champion's Cape	チャンピオンのマント
(empty)	（空）
(t)	（縁）
Bellshroom	ベルキノコ
Blood Stinkhorn	キヌガサタケ
Drift net	流し網
(full)	（満）
Fishbowl	金魚鉢
skeleton	スケルトン
peculiar	独特な
Sabertooth	剣歯
Mythic	神秘的な
Cloister	修道院
Grotesque Guardian	グロテスク・ガーディアン
birdhouse	鳥小屋
Velvet	ビロード	柔らかく、光沢のある織物で、通常は高級感を持つ素材として使用されます。
Slayer Helmet	討伐兜
Fossil Island	化石島	地名
Ultimate Ironman	究極鉄人
Hardcore	ハードコア
Hardcore Ironman	ハードコア鉄人
Rooftop Agility	屋根上トレーニング
Nightmare zone	悪夢の領域
Mythical Cape	神秘のマント
Mast	マスト
Debris	残骸
Wreckage	破片
Xeric's Guard	ゼリックの衛兵
Xeric's Warrior	ゼリックの戦士
Xeric's Sentinel	ゼリックの歩哨
Xeric's General	ゼリックの将軍
Xeric's Champion	ゼリックのチャンピオン
Vent	排気口
Theatre of Blood	血の劇場
Verzik	ヴェージック
Twisted Bow	歪みの弓
Te salt	テ塩
Urt salt	ウルト塩
Efh salt	エフフ塩
Larran	ララン
Anima	生命力
Withering	しおれた
Olmic	オルムの
Lizard	トカゲ
dwelling	生息地
Brimstone	ブリムストーン
Making Friends with My Arm	おいらの腕と友達になる	クエスト名
Bryophyta	ブリオフィタ
Ruined	崩れた
Musty	カビ臭い
Sacred	聖なる
Sacred	神聖な
Sarcophagus	サルコファガス
Crystal tree	水晶樹
Cart	カート	ただしMine cartの場合はトロッコ
Seal	証印
Sceptre	笏	魔法使いの武器
Deposit	堆積物	堆積物
(Depleted)	（枯渇）
Deplete	枯渇
Phren	フレン	CGで出てくる植物名
Grym	グリム	CGに出てくるハーブ名
Linum Tirinum	リニアム・チリナム	CGに出てくる植物名（綿）
Crystal Singing	水晶反響
Egniol	エグニオル	CGのポーション名
The Gauntlet	ザ・ゴーントレット	特別にこれはカタカナで表記
Gauntlet	ゴーントレット	CGなどのGauntletの訳
Rock Formation	岩層
(Glowing)	（発光）
Memoriam	追悼	ついとう
spire	尖塔	せんとう
Cenotaph	慰霊碑
Dragon trophy	竜トロフィー
Spore	胞子
Blisterwood	ブリスターウッド
Mausoleum	霊廟
Icyene	アイシーン
Blood Tithe	血の税収
Prisoner	囚人
Cupboard	戸棚
bath	湯船	お湯を貯めるやつのこと
stool	スツール
Soul Wars	ソウル・ウォーズ
harpoonfish	銛魚	読み：もりうお
Accomplishment	業績
Accomplishment scroll	業績の巻物
Trailblazer	トレールブレイザー
Electrified	帯電した
Vault	金庫
lockbox	貸し金庫
Elaborate	精巧な
Barronite	バロナイト	鉱石の種類
Charm	お守り
thread	糸
Pine tree	松の木
Plaque	銘板
basalt	玄武岩
Waystone	転移ポイント
Canifis	キャナフィス	地名
Desecrated	冒涜された
Consecrated	聖別された
Pharmakos	ファーマコス
Oozing	浸食する
Chaos	混沌	ルーン名以外もこれ
Uncharged	無チャージ	チャージがない状態
grindstone	砥石
polishing wheel	研磨車
Crucible	るつぼ
(partially full)	（多少）
Indigo	藍色
Staging area	ステージ・アリーナ
(dry)	（乾）
(dirty)	（汚）
Caster	詠唱者
Venom	猛毒
pillar	支柱
Void	虚無
Khopesh	ケペシュ
Invocation	祈願	ToBのInvocationの訳
Crondis	クロンジス
cauldron	大釜
Wreath	花輪
Fence	フェンス
Festive	祝祭の
fireplace	暖炉
Crack the Clue	謎解き
Forthos	フォーソス	地名かな
Nightmare of Ashihama	アシハマの悪夢
Mahogany Homes	マホガニー・ホーム
Shades of Mort'ton	モートンの陰
Shooting Star	流れ星
Combat Achievement	戦闘実績
Guardians of the Rift	裂け目の守護者
Giants' Foundry	巨人の鋳造所
Emir's Arena	エミアのアリーナ
Unranked	無ランク
Speedrunning	・タイムアタック
Tombs of Amascut	アマスカットの墓
Bounty Hunter	バウンティ・ハンター
Anima-infused	生命力付与
Musca mushrooms	ベニテングタケ
Holos mushrooms	ホロスタケ
Arder mushrooms	アーダータケ
Resper mushrooms	レスパーダケ
Steeple	尖塔
Ominous	不吉な
Boar	イノシシ
Goat	ヤギ
Lynx	オオヤマネコ
Ruined	荒廃した
Monument	記念碑
satchel	サッチェル
(locked)	（閉）
Onyx	オニキス
Tether	つなぎ縄
Vein	静脈
Fleshy	肉質
Strand	より糸
Teleporter	ワープ装置	他の物をワープさせるモノの場合
Growth	生産物
Luminescent	発光性
(broken)	（壊）
Steam	蒸気
Smoke	煙
Dust	塵
Entrail	内臓
Yewnock	ユーノック
Dizana	ディザナ
Mural	壁画
Eclipse	月食
fan	スカエボラ	植物名の場合
Quiver	矢筒
Kualti	クアルチ
Twill	ツイル
Icon	偶像
Icon	肖像	絵の場合
Imafore	イマフォー
Cloud Titan	クラウド・タイタン
Old One	古いモノ	絶滅した生物の種
Fang	牙
Emperor	皇帝
Zombie Pirate	海賊ゾンビ
toadflax	トードフラックス	ハーブ系
snapdragon	スナップドラゴン	ハーブ系
Guest Clan	見学クラン
public chat	公共チャット
autochat	自動チャット
Private	個別	チャットの種類
Bond Pouch	ボンド入れ
Inventory	カバン
Overview	概要
Collection Log	取得アイテム一覧
guide prices	参考価格
follower	従者
Inbox	受信箱
Accept Aid	手助けの許容
Ground Markers	地面マーカー
wiki	ウィキ
Desert	砂漠	土地名、Desert diary等のDesertの訳
Journal	日誌	Achievement DiaryのJournalの訳
Kebos	ケボス	地名
Varrock	ヴァロック	地名
Western Provinces	西部地方
XP drops	XPドロップ
Customer Support	サポートセンタ
Slayer Master	討伐の達人
Black Knight	黒騎士
Elite	精鋭	elite black knightなどに使われる場合の訳
broav	ブローブ	イノシシみたいな空想の動物
Activity Adviser	推奨コンテンツ
rosemary	ローズマリー
belladonna	ベラドンナ
mushroom	キノコ
Resurrect	蘇生
Home Teleport	帰還ワープ	魔法名
Bind	バインド	拘束魔法の場合の訳
Kourend Castle	クーレンド城
Charge	錬成	charge water orb などの場合
Claws	鉤爪
Teleother	他ワープ
Paddewwa	パデワ
Dareeyak	ダリーヤク	地名
Lassar	ラサー	地名
Blood	ブラッド	古代魔法のに付けられる場合
Ice	アイス	古代魔法に付けられる場合
Smoke	スモーク	古代魔法の場合
Barrage	バラージ	古代魔法の場合
Blitz	ブリッツ	古代魔法の場合
Burst	バースト	古代魔法の場合
Rush	ラッシュ	古代魔法の場合
Moonclan	ムーンクラン
Tele Group	集団ワープ
Ourania	ウラニア
Ice Plateau	アイス・プラトー	地名
Reanimation	蘇生術	魔法名の場合
Chompy Bird	チョンピー鳥
Hallowvale	ハローヴァール
Dorgeshuun	ドーゲシューン
Grand Tree	グランド・ツリー
Hazeel	ヘーゼル
Burgh de Rott	バーグ・ドゥ・ロット
Myreque	マイラーク	Morytaniaの人間集団名、吸血鬼から解放されたい人たち
Merlin	マーリン
Porcine of Interest	重要参考豚	読みは「重要参考トン」（重要参考人とかけて）
Sea Slug	ウミウシ
Shilo	シャイロ
Elid	エリッド
Temple	寺院	読み：じいん
Ikov	アイコフ
Tree Gnome	ツリー・ノーム
Zogre	ゾーガ	モンスター名
Lily Pad	スイレン
Minion	手下
Jatiszo	ジャティスゾ
Lancalliums	ランカリウム
Rapier	レイピア	武器
Cutlass	カットラス	武器
(h1)	（紋1）
astral	霊	ルーンの場合
(e)	（魔法）	ボルト、enchantedという意味
stock	銃床	洋弓銃の木の部分
initiate	新信者	鎧の名
proselyte	改宗者	祈りポイントをあげる鎧の名
limbs	リム	洋弓銃の金属の部分
quiver	クイーバー	矢を持つやつ
3rd age	第3紀	宝探しの巻物からもらえる超珍しいアイテム
bracers	腕輪	アイテム名
hasta	片手槍	武器名
(i)	（付与）	(imbue)の訳
Piscatoris	ピスカトリス	地名
Feldip Hills	フェルディップヒルズ	地名
Tai bwo wannai	タイ・ブオ・ワナイ	地名
(or)	（飾）	ornamentという意味を持つ略称
lumberyard	貯木場	地名
Pest control	害獣駆除	アクティビティ名
zenyte	ゼナイト	高くて一番強い宝石
assembler	アセンブラ	ava's assemblerの場合使われている
wrath	憤怒	ルーン
(inactive)	（不活性）	水晶の道具とかで使われている
divine	神聖	調合の増強薬で使用
(basic)	（基本）	CGで使われている
(attuned)	（調和）	CGで使われている
(perfected)	（完璧）	CGで使われている
(l)	（ロック）	lockedっという意味、アイテム名で使用
swampbark	沼樹皮
bloodbark	血樹皮
banknote	銀行券	noted item のこと、Stackできるやつ
(f)	（強化）	fortifiedっという意味の(f)
felling	伐倒	林業のアイテム名で使用
sunfire	陽炎	varlamoreの新アイテム
quetzal	クエッツァル	varlamoreの新しいやつ
araxyte	アラキサイト	敵の名
Hueycoatl	フエコアトル	ボス名
Huasca	フアスカ	ハーブの名
Old School Runescape	オールドスクールルーンスケープ	dialogueで役に立ちそうかも
Enrich	改良
Herbalist	薬草師
chausses	ショース	足の装備
cuirass	手甲	装備の種類
greaves	すね当て
Twitcher	猟師
Trinket	装身具
vitur	ヴァーチャー
godsword	神剣
serum	血清
vestige	名残
Magus	マグス
Venator	ベネター
Sanguine	サングインの
Leprechaun	レプラコーン
Dark bow	暗黒弓
Thammaron	サマロン
chainmace	鎖槌矛
helm	兜	読み：かぶと
Circlet	飾り輪
oubliette	忘れ牢
Flame pit	火炎坑
Superior	上級
Nihil	ナイヒル
Enhanced	強力な
Imcando	インカンド
Bellator	ベレーター
Ultor	ウルトー
Waterbirth	ウォーターバース	地名
Blindweed	ブラインド草
hide	革	dragon hide などの革
world	世界	ゲームワールドならば、世界にしたほうがよさそう
Hammerstone	ハマーストーン
membership	会員権	メンバーのコンテンツをアンロックするやつ
bond	ボンド	会員権をGPで買えるやつ
Unfired	未焼成
Necromancy	降霊術
Ourg	ウールグ
Mist	霧
Leaf-bladed	葉刃
Keldagrim	ケルダグリム	地名
Order of Wizards	魔術師団	魔法使いのグループ
White	白鉄	装備の種類
Battlestaves	戦杖
Members	会員
Keris	ケリス
Purging	浄化
Anchor	碇	読み：いかり
defender	副刀	melee系の左手で持つ防具
shield	盾	アイテム名で使用
unholy	けがれ	アイテム名で使用
uncut	原石	アイテム名で使用
unstrung	紐無し	アイテム名で使用
(g)	（金）	アイテム名で使用
unblessed	祝福されていない	アイテム名で使用
Blessed	祝福の
maul	大槌
Elder	エルダー	「エルダーの」「エルダー・」なども
Osmumten	オスマンテン
hit splat	ヒットマーク
disease damage	感染ダメージ
corruption damage	腐敗ダメージ
slimy	滑り
Sardine	イワシ
Cooked	焼けた	cooked meat などの場合
jug	水差し	アイテム名
Pure essence	純粋な素
Motherlode mine	富鉱帯鉱山
Motherlode	富鉱帯
Blast Mine	爆発鉱山
Volcanic Mine	火山鉱山
Daeyalt essence	ダエヤルトの素
Inquisitor	異端審問官
Primordial	原初
Dorgesh-Kaan	ドーゲシュ・カーン
God Wars	神戦
God Wars Dungeon	神戦ダンジョン
Gnome Stronghold	ノーム要塞
Agility Course	コース
Rooftop Course	屋根上コース
Colossal Wyrm	巨大ワーム
Werewolf	人狼
Pollnivneach	ポルニヴネッチ
Rope-swing	ロープスイング
Moss Giant	コケの巨人
Stepping stone	踏み石
Monkey bar	うんてい
Agility shortcut	近道
Goblin village	ゴブリン村
Catacomb	地下墓地
Resource Area	資源エリア
cliffside scramble	崖のよじ登り
Dwarven Mine	ドワーフ鉱山
crevice	亀裂
Slayer Dungeon	討伐ダンジョン
Deep Wilderness	ウィルダネス深部
Ralos' Rise	ラロスの高まり
Fremennik Province	フレメニックの州
essence mine	素鉱山
Nature Grotto	自然洞窟
docks	港
ectopool	エクトプール
overpass	高架橋
Estuary	河口
Prison	刑務所
Slayer Tower	討伐の塔
Darkmeyer	ダークメヤー	地名
Necropolis	ネクロポリス
Taverley	タベリー
spiked blades jump	トゲ刃ジャンプ
shortcut	近道
Ice Mountain	氷山
Palace	宮殿
Gu'Tanoth	グタノス
Pollniveach	ポルニヴィーチ
Lava Dragon	溶岩竜
Kharazi	カラジー
Crandor	クランドー
Kalphite Lair	カルファイトの巣
Viyeldi	ヴィーエルディ
Laboratory	研究室
Legends' Quest	レジェンド・クエスト
bronze	青銅	採掘系
square shield	角盾
Masori	マゾーリ
Rock-shell	岩殻
Dagon'hai	ダゴンハイ
Eclipse	エクリプス	装備の場合
ward	ワード
ward	盾
Aldarium	アルダリウム
Tithe Farm	タイス農場
Mixology	ミクソロジー
Mastering Mixology	ミクソルジ・マスター
Aerial	空中釣り
harpoon	銛	読み：もり、アイテム名で使用
drift net fishing	流し網漁
Ranged	遠射	スキル名
Thrown	投げ物
Atlatl	アトラトル
Zaryte	ザーライト
Isle of Souls	魂島
Villas	別荘
Hemenster	ヘメンスター
Molch	モルチ
Sorceress's Garden	ソーサーレスの庭
Pyramid Plunder	略奪のピラミッド
Jalsavrah	ジャルサヴラ
Ugthanki	ウグタンキ
Camdozaal	カムドザール
sacrifice	生贄
Weaving	織る	もしくは織物
Mud rune	泥のルーン
chapel	チャペル
Razor-backed	背刃
Box Trap	箱罠
Net Trap	網の罠
Neypotzli	ネイポズリ
Darkfrost	ダークフロスト
Twilight Temple	黄昏の寺院
Powered	充填された
Blunt	鈍器
Bludgeon	棍棒
Bulwark	防壁
Partisan	パルチザン
Polearm	長槍
Polestaff	長柄杖	読み：ながえつえ
aggressive	積極的に	攻撃スタイルの一つ
Heavy	重量	武器の分類
Standard	通常	武器の分類
Light	軽量	武器の分類
Rapid	連射	攻撃スタイルの一種
Longrange	遠距離
Spell	呪文
protection prayers	防御の祈り
blood sacrifice	血の代償
Protect from Melee	近接の防御
accuracy	命中率	accurateは正確さだが、accuracyは命中率とする。命中率を上げるとより正確な攻撃になるということで
Tentacle	触手
Penance	ペナンス	本当は「懺悔」だがモンスターやアイテム名等は固有名詞としてこれを使う
multicombat	混戦
Special Attack	必殺技
prayer point	祈力ポイント
Soul Stack	ソウルスタック
Frostmoon	ブルームン
Bloodrager	ブラッドムーン
Combat Task	戦闘実績
Free	無課金
Elemental Workshop	エレメント工房
Mahjarrat	マジャラット
Twilight	黄昏
Shadow	シャドウ	「シャドー」ではなく「シャドウ」で統一
Barbarian Outpost	蛮族基地
farming patch	畑
SA energy	必殺技エネルギー	special attack energyの訳
special attack energy	必殺技エネルギー
topaz	トパーズ
World	世	「W64」等Wの場合は「世64」とする
Ignores	無視	Ignore list などのIgnoreの訳
Dagannoth Kings	ダガノス・キング
Rat Pits	ネズミ闘技場
Royal Titans	高貴な巨人
Trouble Brewing	醸造トラブル
PK Skull	PKドクロ
Alliance	同盟
Last Man Standing	最後の一人
Mage Training Arena	魔術師の訓練所
Lair	巣窟
Yu'biusk	ユビスク
Lament	哀歌
Menaphos	メナフォス
My Arm	おいらの腕
Ashihama	アシハマ
Bane	呪縛
Bane	災い
Nox	夜
Irae	怒り、憤怒
Phasmatys	ファズマティス
Attack bonus	攻撃力ボーナス	装備の＋値（crush + 10 など)
Attack style	攻撃スタイル	slash, crush, rapid 等
side panel	タブ	attack style, スキル一覧、カバン等のこと
Strength bonus	腕力ボーナス	装備のstrength bonous
furnace	炉
Members Only	会員限定
secondary ingredient	補助素材
ammo	弾	遠距離武器に使う矢やボルトの総称
ammunition	弾	遠距離武器で使う矢やボルトなどの総称
loot	物資
Prayer bonus	祈りボーナス	装備のbonousの訳は（スキル名）＋ボーナス
jewellery	宝飾品
Soft clay	柔らかい粘土
pottery wheel	陶芸用のろくろ
pottery oven	陶芸用の窯
jewellery box	宝石箱
bowstring	弓弦
Slayer task	討伐依頼
reward point	報酬ポイント
Rake	掻き抜く	畑の雑草を取り除く
Rake	熊手	アイテム名の場合
PvP World	PvPの世界
Zeah	ゼヤ
Party Room	パーティー会場
High Risk	高リスク
High Risk World	高リスクな世界
Building Mode	建築モード
update post	アップデート情報
QoL change	QoL改善
Subscribe	会員登録	memberになること
Skilling Boss	スキルボス
Raid	レイド
Completion	クリア
Champion	王者
Obor	オーボー
Antifire	火耐性
Amoxliatl	エモックスリアトル
Temotli	テモトリ
Chitin	チチン
Raider	侵略者
Speed-Trialist	走者
Nagua	ナーガ
Negation	無力化
Perfect	完全勝利	Combat achievementなどで使われる
Runner	走者	combat achievement 等で使われる
Corporeal Beast	コーポリアル・ビースト	モンスター名
Dusk	夕暮れ
Corrupted Gauntlet	変異ゴーントレット
Alchemical	錬金術の
Fight Caves	ファイト・ケーヴズ
Scale	人分	bossのscalingのことの訳
Thermonuclear	熱核
Araxxor	アラクソー
Grandmaster	総帥
Speed-Chaser	疾風迅雷
Speed-Runner	電光石火
Duo	デュオ
Trio	トリオ
Budget	格安	装備とかのこと
Kill Count	キル数
ratbane	ネズミ特攻
private instance	専用インスタンス
Demonbane	悪魔特攻
immobilized	拘束
blinding	拘束
Soul	霊魂
Theatre of Blood: Entry Mode	血の劇場：初心者モード
Receive kill-credit	自分で倒す
Expert mode	専門家モード
materialising orb	霊体のオーブ
Tornado	竜巻
Corpse flower	死体の花
Hard Mode	ハードモード
Blood Siphon	ブラッド・サイフォン
Tombs of Amascut (normal)	アマスカットの墓（通常）
Medic	衛生兵	InvocationのMedicの訳
Aerial Assault	空中攻撃	toa invocation
Stay vigilant	油断大敵	toa invocation
Insanity	愚行	toa invocation
On a diet	食事制限	toa invocation
Dehydration	脱水症状	toa invocation
enrage	暴走	ボス戦のEnrageの訳
enrage	暴走	ボス戦のEnrageの訳
